晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
赤羽疾风·阎懿弩 (仙风胜调) (仙风胜调·一) , RH_bow_048, RH_bow_048,
风火棍 (金箍) , RH_wand_014, RH_wand_014,
煌极云来·清禄棒 (满宫竹青) (满宫竹青·一) , Lh_stick_010, RH_flagon_045,
剑鸣朔漠·拂叶琴 (悬流) , LH_piano_070, RH_blade_001,
月浸泉山·风 , LH_piano_056c, RH_blade_056c,
兑泽剑 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
矢棘 (隐谢公) , LH_shield_008, RH_pike_008,
天香之殇 (僧渡) , D011003, D011003,
朝云凤·谜 , D011075d, D011075d,
王醉风云·雅惠双剑 (先生莫猜) (先生莫猜·一) , RH_sword_165b, RH_sword_165b,
拒仙棍 (杀乱) (杀乱·一) , RH_wand_072b, RH_wand_072b,
堪画 (今时日文) , RH_brush_135, RH_brush_135,
至尊熏猪腿·跋山涉水 (南柯梦) , D007232, D007232,
荐贤笔 (忠贤) , RH_brush_016, RH_brush_016,
白猿棍·如仇 (点白) , D010048, D010048,
河阳弩 (夜归龙) , RH_bow_022, RH_bow_022,
雁翎枪 (断执着) , RH_spear_003, RH_spear_003,
洛城 , Lh_stick_001, RH_flagon_010,
申识刀 (雪堂迁) , RH_knife_010, RH_knife_010,
豁口的重剑 (踏遍) , D007166, D007166,
红叶 (若言有声) , LH_piano_002, RH_blade_002,
修罗倾音琴 (动群伦) , LH_piano_020, RH_blade_001,
刺颅 (鬓云斑) , RH_bow_004, RH_bow_004,
弄语 (潇湘寒琼) , RH_brush_154, RH_brush_154,
归浦双剑 (相思不苦) (相思不苦·一) (相思不苦·四) , RH_sword_197b, RH_sword_197b,
闻生棍 (法净正觉) , RH_wand_136, RH_wand_136,
峡泉 (刺锋) , San_028, San_028,
临原 (太平相公) , RH_spear_088, RH_spear_088,
碎影琴 (若言有声) , LH_piano_002, RH_blade_002,
曙霜 (碧千帆) , LH_shield_003, RH_pike_003,
楚江月 (惊铩) , RH_bow_085, RH_bow_085,
川阳 (贫士弹) , RH_knife_044, RH_knife_044,
林籁 (鬓云斑) , RH_bow_004, RH_bow_004,
天铭枪 , RH_spear_073, RH_spear_073,
明波双剑 (笑说有恨) , RH_sword_231, RH_sword_231,
天玄笔 (春色难留) , Rh_brush_019, Rh_brush_019,
横剑千岩·拂霜 (昨日烦忧) (昨日烦忧·一) , RH_sword_208, RH_sword_208,
虚无 (散人) , RH_sword_032, RH_sword_032,
洞玄九天·妄 , RH_sword_214b, RH_sword_214b,
煌极云来·青霭双剑 (昨日烦忧) (昨日烦忧·一) , RH_sword_208, RH_sword_208,
淬雷霆 (蚕鱼人烟·二) (蚕鱼人烟·三) (蚕鱼人烟·五) , RH_bow_049, RH_bow_049,
冰河·塞上曲 (孤屿) , LH_shield_006, RH_pike_006,
离朱刀 (刺锋) , San_028, San_028,
载云灵伞 (点花泪) , San_039, San_039,
雁云盾刀 (燕将去) , LH_shield_069, RH_pike_070,
愁鹤 (鬓云斑) , RH_bow_004, RH_bow_004,
文韬武略·友朋双剑 (广寒金风) , RH_sword_261, RH_sword_261,
九州纵横·洲暮笔 (倾晗) (倾晗·一) , RH_brush_143, RH_brush_143,
孤海 (云燕成双) , San_002, San_002,
天涯远 (绝塞银蛇) (绝塞银蛇·一) (绝塞银蛇·四) , RH_knife_046b, RH_knife_046b,
龟山 (悲白) , LH_BDdagger_007, RH_BDknife_007,
魔额 (卷水间) , RH_knife_008, RH_knife_008,
寻踪觅宝·留侯 (对君欢) , RH_sword_225, RH_sword_225,
测试装备 , RH_brush_103, RH_brush_103,
临水 (点花泪) , San_039, San_039,
漠宁 (绿寂调) , RH_knife_037b, RH_knife_037b,
寻踪觅宝·悬雷瀑 (悲白) , LH_BDdagger_007, RH_BDknife_007,
太极开元剑 (拒霜) , D007042, D007042,
挑酒烧火棒·火候 (老飞仙) , Lh_stick_004, RH_flagon_013,
疾风千里 (碧千帆) , LH_shield_003, RH_pike_003,
秋梧 (动群伦) , LH_piano_020, RH_blade_001,
胡雁弯刀 (天下之枯荣) , RH_knife_043, RH_knife_043,
誓骨 (一支孤瑞) , D011084, D011084,
晚樱笔 (燕来) , RH_brush_074, RH_brush_074,
阑星 (云遮眉) , RH_bow_001, RH_bow_001,
恤苍生 (沧海) , RH_brush_013, RH_brush_013,
苍天鹤血·羽涅弯刀 (兴废陈踪) (兴废陈踪·一) , RH_knife_011, RH_knife_011,
骋游棒 (醉涛) , Lh_stick_037, RH_flagon_073,
划穹 (西池·一) (西池) , RH_Sword_071, RH_Sword_071,
万里长风·入松琴 (仙音渺) (仙音渺·一) , LH_piano_077b, RH_blade_065b,
初见 (斫良木) , LH_piano_004, RH_blade_004,
煞心焚骨·问冢重剑 (江河暮) (江河暮·一) , D007394b, D007394b,
赤胆横戈·琅石重剑 (云海分楼) (云海分楼·一) , D007325, D007325,
妙火天香串·火候 (高豪) , RH_knife_032, RH_knife_032,
江白弩 (与归) , RH_bow_079, RH_bow_079,
九州纵横·昼苍笔 (倾晗) (倾晗·一) , RH_brush_143, RH_brush_143,
藏千机·谋 , RH_bow_055b, RH_bow_055b,
风刃 (万顷春水) , D007302b, D007302b,
行旌刀 (曲江封塞) , LH_shield_059, RH_pike_060,
寒魄玉心 , San_016, San_016, , P_蓬莱100级大橙武伞关
阿里曼古笛 (僧渡) , D011003, D011003,
赤墀 (傲岚) , Lh_stick_039, RH_flagon_075,
沙罗封焰枪 (圣挽) , D010011, D010011,
九曲·星梅双刀 (为无衣天) (为无衣天·一) , RH_knife_050, RH_knife_050,
誉满天下·蚩野笛 (大地红炉) , D011071, D011071,
宿沙弩·绽 (紫气离魂) , RH_bow_070, RH_bow_070,
煞·雪名 , RH_sword_174, RH_sword_174, , C_纯阳煞版橙武剑_太虚
薇思，折桂之缘 (未歌) , RH_Sword_091, RH_Sword_091,
风庭轻剑 (千秋调剑) , RH_sword_257, RH_sword_257,
司徒玲珑笔 (人间事) , RH_brush_026, RH_brush_026,
枫浦笔 (鹊语成诗) , RH_brush_155, RH_brush_155,
凌波 (碧千帆) , LH_shield_003, RH_pike_003,
昊穹·淇奥双剑 (旧侣生平) (旧侣生平·一) , RH_sword_199, RH_sword_199,
翠渚笛 (碎灰) , D011055, D011055,
西月枪 (旧事不念) , RH_spear_074, RH_spear_074,
龙蛇舞 (品流) , RH_sword_017, RH_sword_017,
绍天铁枪 (世尊) , D010059, D010059,
子行弩 (芳草姑苏) , RH_bow_009, RH_bow_009,
风波迎 (飞龙断海) , D007397, D007397,
五岳地剑 (病香如) (病香如·一) , RH_Sword_094, RH_Sword_094,
测试装备 , RH_sword_173, RH_sword_173,
落朽轻剑 (天外天) , RH_sword_009, RH_sword_009,
日影天宇姬神 (凝眸) , D007031, D007031,
香蝶漱玉 (蝉声未绝) , D011080, D011080,
烟水阔 (一生任性) , LH_piano_022, RH_blade_003,
禅心无滞 (慈悲言说) , RH_wand_126, RH_wand_126,
威震天下·俏雪琴 (书味满堂) , LH_piano_024, RH_blade_004,
驱俨轻剑 (浮世冰心) (浮世冰心·一) , RH_sword_183b, RH_sword_183b,
誉谀 (老英雄) , RH_knife_005, RH_knife_005,
六和曲笔 (歌狂) , RH_brush_023, RH_brush_023,
煌武刀 (刺锋) , San_028, San_028,
破损不堪的装备 (能元) , RH_spear_008, RH_spear_008,
侠行寒沙·凌雪剑 (限光) , RH_sword_286, RH_sword_286,
霜歌 (定山河) , LH_BDdagger_002, RH_BDknife_002,
骤雨新荷 (狂歌) , RH_sword_035, RH_sword_035,
苍色 (雪霜落) , LH_piano_028, RH_blade_014,
宿沙剑·曜 , RH_sword_250, RH_sword_250,
山盟犹在 (高峰挽) , LH_shield_016, RH_pike_016,
洪涛重剑 (踏遍) , D007166, D007166,
定关山 (定山河) , LH_BDdagger_002, RH_BDknife_002,
卷创轻剑 (苍生神鬼) (苍生神鬼·一) , RH_Sword_093, RH_Sword_093,
秋昏笛 (苦颜) , D011025, D011025,
岁东 (无踪持风) , Lh_stick_004, RH_flagon_042,
颜焓琴 (轩昂色) , LH_piano_014, RH_blade_014,
遥空碧 (贪古调) , LH_piano_001, RH_blade_001,
共醉 (诸侯征勋) , LH_shield_066, RH_pike_067,
寻踪觅宝·雅荷双剑 (几度幻哉) , RH_sword_170b, RH_sword_170b,
青铜头柳木棍 (原澜) , RH_wand_004, RH_wand_004,
生死持著 (吐月) , RH_brush_082, RH_brush_082,
义薄云天·若初双剑 (容若) , RH_Sword_049, RH_Sword_049,
宿沙刀·曜 , LH_BDdagger_011, RH_BDknife_011,
瀚海雄风·雾涯笛 (豪雄) , D011009, D011009,
长空破浪 (盟誓·二) (盟誓) (盟誓·一) , D007261, D007261,
婵娟 (晴光) , RH_sword_043, RH_sword_043,
振翼 (定山河) , LH_BDdagger_002, RH_BDknife_002,
江离笔 (月临关) , RH_brush_092, RH_brush_092,
气吞山河·参狼之击 (芳草姑苏) , RH_bow_009, RH_bow_009,
澹兮剑 (平落清溪) , RH_sword_169, RH_sword_169,
镖头凶器 (玉千杆) , RH_bow_007, RH_bow_007,
亥顺刀 (念临州) , RH_knife_018, RH_knife_018,
汉月盾刀 (池浅速谋) , LH_shield_055, RH_pike_056,
梦熄笛 (天人若语) (天人若语·一) , D011074, D011074,
缘崖 (碧千帆) , LH_shield_003, RH_pike_003,
亢暗弩 (惊铩) , RH_bow_085, RH_bow_085,
青钢 (那行者) , RH_spear_006, RH_spear_006,
霜蛛笛 (奈何累) , D011004, D011004,
拱木棍 (一沾殇) (一沾殇·一) , RH_wand_107, RH_wand_107,
逍遥天下·若夜轻剑 (鸾凤翼) , RH_sword_162b, RH_sword_162b,
名有 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
浮蕊 (云燕成双) , San_002, San_002,
月照青枫·兴昌弩 (仙风胜调) (仙风胜调·一) , RH_bow_048, RH_bow_048,
沉沙风卷 , LH_shield_029c, RH_pike_029c,
鹤鸣千山·梦仙 , RH_sword_322c, RH_sword_322c, , C_纯阳橙武_c01_加强HD
雨晦 (云遮眉) , RH_bow_001, RH_bow_001,
寻踪觅宝·塞笛 (诸侯征勋) , LH_shield_066, RH_pike_067,
玉骨冰魂 (蝉声未绝) , D011080, D011080,
寻踪觅宝·界水 (清秋风冷) , D007333, D007333,
金乌曜日 , San_013, San_013, , P_蓬莱80级大橙武伞关
守志禅杖 (沧浪回崖) , RH_wand_157, RH_wand_157,
银羽金虬 (眉绝巅·二) (眉绝巅·三) (眉绝巅·五) , RH_spear_098, RH_spear_098,
行无行 (梵音寂寂) , RH_wand_154, RH_wand_154,
鹤鸣千山·梦仙 , RH_sword_322d, RH_sword_322d,
姑苏轻剑 (万卷龙滔) , RH_sword_171, RH_sword_171,
情悬渭曲 (千金一诺) , RH_Sword_020, RH_Sword_020,
侠少双剑 (暮云) , RH_Sword_042, RH_Sword_042,
荒城鬼境·归铃笔 (抱翅) , RH_brush_140, RH_brush_140,
豁尘古琴 (一生任性) , LH_piano_022, RH_blade_003,
观震 (云燕成双) , San_002, San_002,
鼎龙笔 (不知吾身) , RH_brush_101, RH_brush_101,
天妍奏 (僧渡) , D011003, D011003,
尽莺 (道吾不还) , LH_piano_021, RH_blade_002,
戍道听泉 (眉绝巅) (眉绝巅·一) (眉绝巅·四) , RH_spear_098b, RH_spear_098b,
泰游 (欲说千年) , Lh_stick_007, RH_flagon_011,
白凤鸣 (蝉声未绝) , D011080, D011080,
释子琴 (指上听) , LH_piano_003, RH_blade_003,
竹影盾刀 (待秋风) , LH_shield_005, RH_pike_005,
月冷长河·避邪双剑 (冷露语) , RH_sword_288, RH_sword_288,
金戈·不灭 (踏湖歌) , RH_wand_082, RH_wand_082,
云烟风月 (贯日金声) , LH_piano_067, RH_blade_001,
众生惑 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
出云棍 (七宝华生) , RH_wand_131, RH_wand_131,
畅梦观云·玮奇弩 (尽东园) (尽东园·一) , RH_bow_038b, RH_bow_038b,
伤狼剑 (如洗) , RH_sword_008, RH_sword_008,
蜀月竹筒饭·跋山涉水 (春水无情) , RH_bow_028, RH_bow_028,
皇灵 (暴云) , LH_shield_001, RH_pike_001,
搴洲 (云燕成双) , San_002, San_002,
裂地 (天绝官) , LH_shield_051, RH_pike_052,
寻踪觅宝·烟中鹤 (清秋风冷) , D007333, D007333,
星罗·霜后竹 (苦颜) , D011025, D011025,
承云九韶 (貔貅怒) , D007160, D007160,
煌极云来·南国琴 (一生任性) , LH_piano_022, RH_blade_003,
关山雪 (荼妄) , RH_spear_125, RH_spear_125,
墨诛 (不断苔生) , RH_brush_101b, RH_brush_101b,
赤冶刀 (扶头念) , RH_knife_004, RH_knife_004,
月照青枫·孤月琴 (千鹤响) , LH_piano_017, RH_blade_017,
九曲黄泉 (色香) , D010079, D010079,
涧落 (萧风叹) , D011111, D011111,
永嘉狼毫 (开山) , RH_brush_037, RH_brush_037,
寒梅 (潇湘寒琼) , RH_brush_154, RH_brush_154,
藏千机·谋 , RH_bow_055c, RH_bow_055c,
胜春 (闻人泣) , LH_piano_026, RH_blade_006,
善济 (白青雷) , RH_wand_051, RH_wand_051,
莺时双剑 (不禁流苏) , RH_sword_255, RH_sword_255,
阿耆尼 (枯泥寺) , RH_wand_138, RH_wand_138,
鹤鸣千山·梦仙 , RH_sword_322, RH_sword_322,
金轩轻剑 (鸿毛影) , RH_sword_275, RH_sword_275,
白鹭刀 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
参天棒 (泪洒哀京) , Lh_stick_002, RH_flagon_029,
光济双刃 (洞箍) , RH_knife_037, RH_knife_037,
五毒内功威望武器 (寄君) , D011005b, D011005b,
阿里曼主祭笔 (沧海) , RH_brush_013, RH_brush_013,
佛问 (善思) , RH_wand_030, RH_wand_030,
相思锦年·清朗棒 (西篱梦) , Lh_stick_019, RH_flagon_055,
靖平九州·九曲笛 (天人若语) (天人若语·一) , D011074, D011074,
泠月 (千回梦) (千回梦·一) (千回梦·四) , LH_shield_030b, RH_pike_030b,
罗汉棍 (玄风) , RH_wand_005, RH_wand_005,
寻踪觅宝·含秋 (芙蓉动) , RH_sword_273, RH_sword_273,
怨 (离缺) , RH_sword_006, RH_sword_006,
月白刀 (曲江封塞) , LH_shield_059, RH_pike_060,
飞羽匣 (芳草姑苏) , RH_bow_009, RH_bow_009,
赤青莲华 (重饮) , D007128, D007128,
剑鸣朔漠·塞秋盾刀 (燕将去) , LH_shield_069, RH_pike_070,
升云琴 (闻人泣) , LH_piano_026, RH_blade_006,
胧月 (刺锋) , San_028, San_028,
霜盏·忘风 , RH_brush_153c, RH_brush_153c,
桑海双剑 (念念观楼) , RH_sword_140, RH_sword_140,
无极炎威 , RH_knife_014b, RH_knife_014b,
凭阑 (芙蓉动) , RH_sword_273, RH_sword_273,
晴雪披身 (妖督) , LH_shield_067, RH_pike_068,
龙威·大月棍 (一夜云屏) , Lh_stick_001, RH_flagon_023,
纤枝 (定山河) , LH_BDdagger_002, RH_BDknife_002,
雁南征 (神鬼天时) , LH_shield_052, RH_pike_053,
碧空龙鸣 , RH_sword_145c, RH_sword_145c,
青锋剑 (霜州) , RH_Sword_023, RH_Sword_023,
朝云凤·蛊 , D011075c, D011075c,
瀚海雄风·乌栖之击 (芳草姑苏) , RH_bow_009, RH_bow_009,
天火召 , RH_knife_015, RH_knife_015,
剑鸣朔漠·飞蓬棒 (雾沾襟) , Lh_stick_033, RH_flagon_069,
青麟攀刃 (多遐) , D007050, D007050,
又何用 (长夜) , D007238, D007238,
鹤鸣千山·梦仙 , RH_sword_322c, RH_sword_322c,
无露霜 (忘期) , LH_piano_074, RH_blade_062,
愁芳草 (贯川流) (贯川流·一) (贯川流·四) , D007318b, D007318b,
斋千日 (贪古调) , LH_piano_001, RH_blade_001,
陵上柏 (迟梦归) , RH_sword_241, RH_sword_241,
修真剑 (荒台) , RH_sword_017, RH_sword_017,
念念不忘 (东风扫) (东风扫·一) (东风扫·二) (东风扫·三) , RH_bow_052, RH_bow_052,
巳慧棍 (镖纹) , RH_wand_022, RH_wand_022,
九霄双剑 (素光) , Rh_sword_011, Rh_sword_011,
点漆星空 (同游) (同游·一) (同游·二) , RH_brush_091, RH_brush_091,
菱花浅 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
清徊琴 (忘期) , LH_piano_074, RH_blade_062,
摩诃白莲杖 (得吾) , RH_wand_033, RH_wand_033,
归鞍 (刺疆) , RH_knife_075, RH_knife_075,
千烽弩 (夜归龙) , RH_bow_022, RH_bow_022,
云山万重 (孤屿) , LH_shield_006, RH_pike_006,
蟠螭棍 (飞骨纤烟) , RH_wand_102b, RH_wand_102b,
垂山青 (池浅速谋) , LH_shield_055, RH_pike_056,
景星 (鬓云斑) , RH_bow_004, RH_bow_004,
纯阳内功副本武器 (金鱼夫婿) , RH_sword_053, RH_sword_053,
潮音 (云遮眉) , RH_bow_001, RH_bow_001,
宿沙笔·曜 , RH_brush_128, RH_brush_128,
赤魂炎狼·镇岳 , RH_spear_141d, RH_spear_141d,
空对月 (羹鲈江上) (羹鲈江上·一) , RH_sword_164b, RH_sword_164b,
鹤鸣千山·皓羽 , RH_sword_322d, RH_sword_322d,
不俗仙骨 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
九华紫笔 (开山) , RH_brush_037, RH_brush_037,
寻踪觅宝·看水 (书味满堂) , LH_piano_024, RH_blade_004,
白露为霜 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
飞鸿 (玉千杆) , RH_bow_007, RH_bow_007,
震空 (风吹新荷) , Lh_stick_002, RH_flagon_017,
寻踪觅宝·徘徊 (今时日文) , RH_brush_135, RH_brush_135,
梦阑时 (追悔) , RH_Sword_023, RH_Sword_023,
愁关西 (妖督) , LH_shield_067, RH_pike_068,
登云栈 (此夜相识·二) (此夜相识·三) (此夜相识·五) , RH_sword_195, RH_sword_195,
惊寂 , RH_bow_032c, RH_bow_032c, , RH_bow_032c_80
雪渊龙吟·康平笔 (落花散) (落花散·一) , RH_brush_099, RH_brush_099,
灵识断木 (不断苔生) , RH_brush_101b, RH_brush_101b,
傲君 (绿寂调) , RH_knife_037b, RH_knife_037b,
九州乘空 (别难) , RH_wand_078, RH_wand_078,
逐鹿天下·燃枫弯刀 (影怖卷垂) , LH_shield_012, RH_pike_012,
羽归剑 (道归) , RH_sword_299, RH_sword_299,
玄火刀 (不言) , D010077, D010077,
乙绡双剑 (南郭僧语) , RH_sword_100, RH_sword_100,
阎浮檀棍 (大荒) , D010177, D010177,
夕阳惟照 (一生任性) , LH_piano_022, RH_blade_003,
覆雨 (天山云海) , RH_Sword_071, RH_Sword_071,
戒嗔棍 (红羽黯然) , RH_wand_023, RH_wand_023,
测试装备 , RH_knife_015, RH_knife_015,
豁口的短铗 (茫茫) , D007111, D007111,
燃灯云 (提婆因陀) , RH_wand_140, RH_wand_140,
芳草·湖莲 (宠溺) , D007032, D007032,
落雷·苍狼 (秋水) , D007186, D007186,
归海枪 (金河倾) , RH_spear_113, RH_spear_113,
偃波 (云遮眉) , RH_bow_001, RH_bow_001,
四时木 (鲜竹) , D010045, D010045,
酉江刀 (载地) , LH_shield_002, RH_pike_002,
星斗风雷 (洗烟霏) (洗烟霏·一) (洗烟霏·二) (洗烟霏·三) , RH_bow_036, RH_bow_036,
癸柏棍 (法净正觉) , RH_wand_136, RH_wand_136,
雀霄双剑 (幽篁) , RH_sword_301, RH_sword_301,
绮灵双剑 (囚徒) , RH_Sword_007, RH_Sword_007,
五色明光杖 (今生苦) , RH_wand_122, RH_wand_122,
飞汉刀 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
玉泉凝·凤鸣 , LH_piano_083, RH_blade_071,
弗栗多·悍 (色香) , D010079, D010079,
丈八蛇矛 (叹息) , RH_Spear_010, RH_Spear_010,
星芒 (尽东园) (尽东园·一) , RH_bow_038b, RH_bow_038b,
拾月棒 (雾沾襟) , Lh_stick_033, RH_flagon_069,
波旬魔炎杖 (礼佛) , RH_wand_035, RH_wand_035,
三清向月 (不断苔生) , RH_brush_101b, RH_brush_101b,
大厨竹筒饭·火候 (春水无情) , RH_bow_028, RH_bow_028,
血池 (诸侯征勋) , LH_shield_066, RH_pike_067,
剑鸣朔漠·征行棍 (提婆因陀) , RH_wand_140, RH_wand_140,
上元好景 (此夜相识) (此夜相识·一) (此夜相识·四) , RH_sword_195b, RH_sword_195b,
罗怙杖 (碎魄转轮) , D010092, D010092,
寻踪觅宝·谁人忧 (断源心体) , RH_sword_274, RH_sword_274,
敖雷剑 (散人) , RH_sword_032, RH_sword_032,
见月轻剑 (黄尘白骨) , RH_Sword_089c, RH_Sword_089c,
烽夜 , RH_spear_079b, RH_spear_079b,
睿慈 (豹寻) , RH_wand_007, RH_wand_007,
日馋弩 (霜头寒菊·二) (霜头寒菊) (霜头寒菊·一) , RH_bow_041, RH_bow_041,
水湄 (香尘春溪) , RH_sword_243, RH_sword_243,
偃枝幽山 (玉山) , RH_sword_300, RH_sword_300,
绝亢摩求 (别有洞天) , RH_sword_035, RH_sword_035,
骨柄剑 (天外天) , RH_sword_009, RH_sword_009,
悯世 (不断苔生) , RH_brush_101b, RH_brush_101b,
玄法·承圆剑 (重试卷) , RH_sword_110, RH_sword_110,
洒青霄 (与归) , RH_bow_079, RH_bow_079,
天策外功威望武器 (定爱) , RH_spear_041, RH_spear_041,
照乘骊珠 (千金一诺) , RH_Sword_020, RH_Sword_020,
测试装备 , RH_sword_176b, RH_sword_176,
精铁盾刀 (水汽冰镜) , LH_shield_004, RH_pike_004,
子柳笔 (洛神) , RH_brush_031, RH_brush_031,
云舟双壁 (仙乡) , RH_sword_044, RH_sword_044,
终音之晦 (鬓云斑) , RH_bow_004, RH_bow_004,
萍飘 (功成) , D011060b, D011060b,
冰河·破匈奴 (旧事不念) , RH_spear_074, RH_spear_074,
铁血丹心·怖皋笛 (豪雄) , D011009, D011009,
白塔思 (比如无悦) , RH_wand_101, RH_wand_101,
攻无不克·至乐笔 (清宁天地) , RH_brush_071, RH_brush_071,
鸟云山兵 (恐寅) , D010086, D010086,
PVP测试装备 (云遮眉) , RH_bow_001, RH_bow_001,
青沼骨笛 (一朝) , D011013, D011013,
苍风劲 (金河倾) , RH_spear_113, RH_spear_113,
月浸泉山·风 , LH_piano_056b, RH_blade_056b,
誉满天下·尘酒棒 (炎池揽月) , Lh_stick_009, RH_flagon_043,
紫背重剑 (倾心) , D007189, D007189,
雪暖 (动群伦) , LH_piano_020, RH_blade_001,
回首丘山 (孤屿) , LH_shield_006, RH_pike_006,
致簇弩 (小楼夜阑) , RH_bow_021, RH_bow_021,
亥羽双兵 (英雄事) , RH_sword_119, RH_sword_119,
千家柳 (碧千帆) , LH_shield_003, RH_pike_003,
丹水山 (道吾不还) , LH_piano_021, RH_blade_002,
殊邈重剑 (不知器) , D007335, D007335,
巨龙吐焰 (多少华发) , Lh_stick_001, RH_flagon_018,
玄云 (定山河) , LH_BDdagger_002, RH_BDknife_002,
霜影玄玑 , RH_sword_346, RH_sword_346, , C_气纯100级大橙武01
锦绣河山·黯玄弩 (沦陷野风) (沦陷野风·一) , RH_bow_056, RH_bow_056,
